name,rating,reviews,salaries,interviews,jobs
Ascendion,3.5,650,3k,110,37
Saint Gobain Glass,3.8,649,1.9k,28,--
Dodla Dairy,4.2,649,1.9k,42,20
Tredence,3.4,648,5.6k,146,93
Samunnati,4.5,648,860,48,2
Leverage Edu,4.1,647,1.6k,67,53
EPL Limited,3.8,647,1.8k,29,--
R.V.R. PROJECTS,3.9,645,1.5k,58,6
PrimEra Medical Technologies,3.7,645,3.5k,71,25
Marlabs,3.5,644,5.1k,40,3
Quislex Legal Services,4.0,651,1.8k,36,--
MPS Limited,3.5,651,2.9k,37,25
Ingram Micro,3.6,651,3.2k,32,--
Qatar Airways,3.5,651,2k,62,22
Eastman Auto and Power Limited,4.0,652,1.9k,88,13
Emami Agrotech,3.9,652,2.4k,43,--
Dhanuka Agritech,3.7,650,1.8k,47,--
Rane NSK Steering Systems,4.0,652,2k,38,--
Ascendion,3.5,650,3k,110,37
Saint Gobain Glass,3.8,649,1.9k,28,--
Dodla Dairy,4.2,649,1.9k,42,20
Tredence,3.4,648,5.6k,146,93
Samunnati,4.5,648,860,48,2
Leverage Edu,4.1,647,1.6k,67,53
EPL Limited,3.8,647,1.8k,29,--
R.V.R. PROJECTS,3.9,645,1.5k,58,6
PrimEra Medical Technologies,3.7,645,3.5k,71,25
Marlabs,3.5,644,5.1k,40,3
Bridgestone - Global Capability Center,4.0,643,2.6k,47,18
Quislex Legal Services,4.0,651,1.8k,36,--
MPS Limited,3.5,651,2.9k,37,25
Ingram Micro,3.6,651,3.2k,32,--
Qatar Airways,3.5,651,2k,62,22
Eastman Auto and Power Limited,4.0,652,1.9k,88,13
Emami Agrotech,3.9,652,2.4k,43,--
Dhanuka Agritech,3.7,650,1.8k,47,--
Rane NSK Steering Systems,4.0,652,2k,38,--
Ascendion,3.5,650,3k,110,37
Saint Gobain Glass,3.8,649,1.9k,28,--
Dodla Dairy,4.2,649,1.9k,42,20
Tredence,3.4,648,5.6k,146,93
Samunnati,4.5,648,860,48,2
Leverage Edu,4.1,647,1.6k,67,53
EPL Limited,3.8,647,1.8k,29,--
R.V.R. PROJECTS,3.9,645,1.5k,58,6
PrimEra Medical Technologies,3.7,645,3.5k,71,25
Marlabs,3.5,644,5.1k,40,3
Bridgestone - Global Capability Center,4.0,643,2.6k,47,18
Orient Technologies,3.7,643,2.8k,46,9
Bridgestone - Global Capability Center,4.0,643,2.6k,47,18
Bridgestone - Global Capability Center,4.0,643,2.6k,47,18
Omaxe,4.2,642,2.1k,39,6
Bridgestone - Global Capability Center,4.0,643,2.6k,47,18
Omaxe,4.2,642,2.1k,39,6
Optimum Infosystem,3.3,642,3.3k,57,47
Bridgestone - Global Capability Center,4.0,643,2.6k,47,18
Omaxe,4.2,642,2.1k,39,6
Optimum Infosystem,3.3,642,3.3k,57,47
Autoliv,4.0,642,2.6k,41,--
Bridgestone - Global Capability Center,4.0,643,2.6k,47,18
Omaxe,4.2,642,2.1k,39,6
Optimum Infosystem,3.3,642,3.3k,57,47
Autoliv,4.0,642,2.6k,41,--
Office Beacon,4.6,640,736,64,1
Bridgestone - Global Capability Center,4.0,643,2.6k,47,18
Omaxe,4.2,642,2.1k,39,6
Optimum Infosystem,3.3,642,3.3k,57,47
Autoliv,4.0,642,2.6k,41,--
Office Beacon,4.6,640,736,64,1
Progressive Infovision,3.8,639,1k,42,--
Bridgestone - Global Capability Center,4.0,643,2.6k,47,18
Omaxe,4.2,642,2.1k,39,6
Optimum Infosystem,3.3,642,3.3k,57,47
Autoliv,4.0,642,2.6k,41,--
Office Beacon,4.6,640,736,64,1
Progressive Infovision,3.8,639,1k,42,--
Jubilant Ingrevia,3.8,640,2.8k,50,--
Bridgestone - Global Capability Center,4.0,643,2.6k,47,18
Omaxe,4.2,642,2.1k,39,6
Optimum Infosystem,3.3,642,3.3k,57,47
Autoliv,4.0,642,2.6k,41,--
Office Beacon,4.6,640,736,64,1
Progressive Infovision,3.8,639,1k,42,--
Jubilant Ingrevia,3.8,640,2.8k,50,--
Corteva Agriscience,4.2,639,2.6k,38,1
Bridgestone - Global Capability Center,4.0,643,2.6k,47,18
Omaxe,4.2,642,2.1k,39,6
Optimum Infosystem,3.3,642,3.3k,57,47
Autoliv,4.0,642,2.6k,41,--
Office Beacon,4.6,640,736,64,1
Progressive Infovision,3.8,639,1k,42,--
Jubilant Ingrevia,3.8,640,2.8k,50,--
Corteva Agriscience,4.2,639,2.6k,38,1
Mahindra Integrated Business Solutions,3.4,639,2.4k,43,3
Bridgestone - Global Capability Center,4.0,643,2.6k,47,18
Omaxe,4.2,642,2.1k,39,6
Optimum Infosystem,3.3,642,3.3k,57,47
Autoliv,4.0,642,2.6k,41,--
Office Beacon,4.6,640,736,64,1
Progressive Infovision,3.8,639,1k,42,--
Jubilant Ingrevia,3.8,640,2.8k,50,--
Corteva Agriscience,4.2,639,2.6k,38,1
Mahindra Integrated Business Solutions,3.4,639,2.4k,43,3
PCBL Chemical Limited,3.9,638,2.5k,72,10
Bridgestone - Global Capability Center,4.0,643,2.6k,47,18
Omaxe,4.2,642,2.1k,39,6
Optimum Infosystem,3.3,642,3.3k,57,47
Autoliv,4.0,642,2.6k,41,--
Office Beacon,4.6,640,736,64,1
Progressive Infovision,3.8,639,1k,42,--
Jubilant Ingrevia,3.8,640,2.8k,50,--
Corteva Agriscience,4.2,639,2.6k,38,1
Mahindra Integrated Business Solutions,3.4,639,2.4k,43,3
PCBL Chemical Limited,3.9,638,2.5k,72,10
Epicenter Technologies,3.3,640,2.3k,40,4
Bridgestone - Global Capability Center,4.0,643,2.6k,47,18
Omaxe,4.2,642,2.1k,39,6
Optimum Infosystem,3.3,642,3.3k,57,47
Autoliv,4.0,642,2.6k,41,--
Office Beacon,4.6,640,736,64,1
Progressive Infovision,3.8,639,1k,42,--
Jubilant Ingrevia,3.8,640,2.8k,50,--
Corteva Agriscience,4.2,639,2.6k,38,1
Mahindra Integrated Business Solutions,3.4,639,2.4k,43,3
PCBL Chemical Limited,3.9,638,2.5k,72,10
Epicenter Technologies,3.3,640,2.3k,40,4
Lohia Corp,3.9,639,2.4k,69,2
Bridgestone - Global Capability Center,4.0,643,2.6k,47,18
Omaxe,4.2,642,2.1k,39,6
Optimum Infosystem,3.3,642,3.3k,57,47
Autoliv,4.0,642,2.6k,41,--
Office Beacon,4.6,640,736,64,1
Progressive Infovision,3.8,639,1k,42,--
Jubilant Ingrevia,3.8,640,2.8k,50,--
Corteva Agriscience,4.2,639,2.6k,38,1
Mahindra Integrated Business Solutions,3.4,639,2.4k,43,3
PCBL Chemical Limited,3.9,638,2.5k,72,10
Epicenter Technologies,3.3,640,2.3k,40,4
Lohia Corp,3.9,639,2.4k,69,2
Tata Power Delhi Distribution,3.7,638,2.7k,33,--
Bridgestone - Global Capability Center,4.0,643,2.6k,47,18
Omaxe,4.2,642,2.1k,39,6
Optimum Infosystem,3.3,642,3.3k,57,47
Autoliv,4.0,642,2.6k,41,--
Office Beacon,4.6,640,736,64,1
Progressive Infovision,3.8,639,1k,42,--
Jubilant Ingrevia,3.8,640,2.8k,50,--
Corteva Agriscience,4.2,639,2.6k,38,1
Mahindra Integrated Business Solutions,3.4,639,2.4k,43,3
PCBL Chemical Limited,3.9,638,2.5k,72,10
Epicenter Technologies,3.3,640,2.3k,40,4
Lohia Corp,3.9,639,2.4k,69,2
Tata Power Delhi Distribution,3.7,638,2.7k,33,--
BankBazaar,3.4,637,2.9k,57,--
Bridgestone - Global Capability Center,4.0,643,2.6k,47,18
Omaxe,4.2,642,2.1k,39,6
Optimum Infosystem,3.3,642,3.3k,57,47
Autoliv,4.0,642,2.6k,41,--
Office Beacon,4.6,640,736,64,1
Progressive Infovision,3.8,639,1k,42,--
Jubilant Ingrevia,3.8,640,2.8k,50,--
Corteva Agriscience,4.2,639,2.6k,38,1
Mahindra Integrated Business Solutions,3.4,639,2.4k,43,3
PCBL Chemical Limited,3.9,638,2.5k,72,10
Epicenter Technologies,3.3,640,2.3k,40,4
Lohia Corp,3.9,639,2.4k,69,2
Tata Power Delhi Distribution,3.7,638,2.7k,33,--
BankBazaar,3.4,637,2.9k,57,--
Trianz,3.3,637,4.6k,61,11
Bridgestone - Global Capability Center,4.0,643,2.6k,47,18
Omaxe,4.2,642,2.1k,39,6
Optimum Infosystem,3.3,642,3.3k,57,47
Autoliv,4.0,642,2.6k,41,--
Office Beacon,4.6,640,736,64,1
Progressive Infovision,3.8,639,1k,42,--
Jubilant Ingrevia,3.8,640,2.8k,50,--
Corteva Agriscience,4.2,639,2.6k,38,1
Mahindra Integrated Business Solutions,3.4,639,2.4k,43,3
PCBL Chemical Limited,3.9,638,2.5k,72,10
Epicenter Technologies,3.3,640,2.3k,40,4
Lohia Corp,3.9,639,2.4k,69,2
Tata Power Delhi Distribution,3.7,638,2.7k,33,--
BankBazaar,3.4,637,2.9k,57,--
Trianz,3.3,637,4.6k,61,11
Patel Infrastructure Limited,3.9,637,2k,32,14
Bridgestone - Global Capability Center,4.0,643,2.6k,47,18
Omaxe,4.2,642,2.1k,39,6
Optimum Infosystem,3.3,642,3.3k,57,47
Autoliv,4.0,642,2.6k,41,--
Office Beacon,4.6,640,736,64,1
Progressive Infovision,3.8,639,1k,42,--
Jubilant Ingrevia,3.8,640,2.8k,50,--
Corteva Agriscience,4.2,639,2.6k,38,1
Mahindra Integrated Business Solutions,3.4,639,2.4k,43,3
PCBL Chemical Limited,3.9,638,2.5k,72,10
Epicenter Technologies,3.3,640,2.3k,40,4
Lohia Corp,3.9,639,2.4k,69,2
Tata Power Delhi Distribution,3.7,638,2.7k,33,--
BankBazaar,3.4,637,2.9k,57,--
Trianz,3.3,637,4.6k,61,11
Patel Infrastructure Limited,3.9,637,2k,32,14
Centaur Pharmaceuticals,3.5,637,2.7k,31,3
Bridgestone - Global Capability Center,4.0,643,2.6k,47,18
Omaxe,4.2,642,2.1k,39,6
Optimum Infosystem,3.3,642,3.3k,57,47
Autoliv,4.0,642,2.6k,41,--
Office Beacon,4.6,640,736,64,1
Progressive Infovision,3.8,639,1k,42,--
Jubilant Ingrevia,3.8,640,2.8k,50,--
Corteva Agriscience,4.2,639,2.6k,38,1
Mahindra Integrated Business Solutions,3.4,639,2.4k,43,3
PCBL Chemical Limited,3.9,638,2.5k,72,10
Epicenter Technologies,3.3,640,2.3k,40,4
Lohia Corp,3.9,639,2.4k,69,2
Tata Power Delhi Distribution,3.7,638,2.7k,33,--
BankBazaar,3.4,637,2.9k,57,--
Trianz,3.3,637,4.6k,61,11
Patel Infrastructure Limited,3.9,637,2k,32,14
Centaur Pharmaceuticals,3.5,637,2.7k,31,3
Alshaya Group,3.7,636,2.3k,48,--
Bridgestone - Global Capability Center,4.0,643,2.6k,47,18
Omaxe,4.2,642,2.1k,39,6
Optimum Infosystem,3.3,642,3.3k,57,47
Autoliv,4.0,642,2.6k,41,--
Office Beacon,4.6,640,736,64,1
Progressive Infovision,3.8,639,1k,42,--
Jubilant Ingrevia,3.8,640,2.8k,50,--
Corteva Agriscience,4.2,639,2.6k,38,1
Mahindra Integrated Business Solutions,3.4,639,2.4k,43,3
PCBL Chemical Limited,3.9,638,2.5k,72,10
Epicenter Technologies,3.3,640,2.3k,40,4
Lohia Corp,3.9,639,2.4k,69,2
Tata Power Delhi Distribution,3.7,638,2.7k,33,--
BankBazaar,3.4,637,2.9k,57,--
Trianz,3.3,637,4.6k,61,11
Patel Infrastructure Limited,3.9,637,2k,32,14
Centaur Pharmaceuticals,3.5,637,2.7k,31,3
Alshaya Group,3.7,636,2.3k,48,--
Data Entry,4.3,636,1.9k,120,7
Bridgestone - Global Capability Center,4.0,643,2.6k,47,18
Omaxe,4.2,642,2.1k,39,6
Optimum Infosystem,3.3,642,3.3k,57,47
Autoliv,4.0,642,2.6k,41,--
Office Beacon,4.6,640,736,64,1
Progressive Infovision,3.8,639,1k,42,--
Jubilant Ingrevia,3.8,640,2.8k,50,--
Corteva Agriscience,4.2,639,2.6k,38,1
Mahindra Integrated Business Solutions,3.4,639,2.4k,43,3
PCBL Chemical Limited,3.9,638,2.5k,72,10
Epicenter Technologies,3.3,640,2.3k,40,4
Lohia Corp,3.9,639,2.4k,69,2
Tata Power Delhi Distribution,3.7,638,2.7k,33,--
BankBazaar,3.4,637,2.9k,57,--
Trianz,3.3,637,4.6k,61,11
Patel Infrastructure Limited,3.9,637,2k,32,14
Centaur Pharmaceuticals,3.5,637,2.7k,31,3
Alshaya Group,3.7,636,2.3k,48,--
Data Entry,4.3,636,1.9k,120,7
BCD Travel,4.2,634,1.8k,118,29
Times Group,3.7,633,4.7k,31,15
Times Group,3.7,633,4.7k,31,15
Capco Technologies,3.7,633,4.6k,88,161
Times Group,3.7,633,4.7k,31,15
Capco Technologies,3.7,633,4.6k,88,161
Welspun World,3.6,632,2.4k,56,75
Times Group,3.7,633,4.7k,31,15
Capco Technologies,3.7,633,4.6k,88,161
Welspun World,3.6,632,2.4k,56,75
InternEzy,4.9,632,5,67,4
Times Group,3.7,633,4.7k,31,15
Capco Technologies,3.7,633,4.6k,88,161
Welspun World,3.6,632,2.4k,56,75
InternEzy,4.9,632,5,67,4
Yatra,3.3,631,3k,34,2
Times Group,3.7,633,4.7k,31,15
Capco Technologies,3.7,633,4.6k,88,161
Welspun World,3.6,632,2.4k,56,75
InternEzy,4.9,632,5,67,4
Yatra,3.3,631,3k,34,2
Mindarika,4.0,630,2k,47,--
Times Group,3.7,633,4.7k,31,15
Capco Technologies,3.7,633,4.6k,88,161
Welspun World,3.6,632,2.4k,56,75
InternEzy,4.9,632,5,67,4
Yatra,3.3,631,3k,34,2
Mindarika,4.0,630,2k,47,--
Indorama,3.9,630,2.2k,38,5
Times Group,3.7,633,4.7k,31,15
Capco Technologies,3.7,633,4.6k,88,161
Welspun World,3.6,632,2.4k,56,75
InternEzy,4.9,632,5,67,4
Yatra,3.3,631,3k,34,2
Mindarika,4.0,630,2k,47,--
Indorama,3.9,630,2.2k,38,5
Nihilent,3.2,630,5k,65,32
Times Group,3.7,633,4.7k,31,15
Capco Technologies,3.7,633,4.6k,88,161
Welspun World,3.6,632,2.4k,56,75
InternEzy,4.9,632,5,67,4
Yatra,3.3,631,3k,34,2
Mindarika,4.0,630,2k,47,--
Indorama,3.9,630,2.2k,38,5
Nihilent,3.2,630,5k,65,32
The Lalit,3.6,630,1.6k,26,10
Times Group,3.7,633,4.7k,31,15
Capco Technologies,3.7,633,4.6k,88,161
Welspun World,3.6,632,2.4k,56,75
InternEzy,4.9,632,5,67,4
Yatra,3.3,631,3k,34,2
Mindarika,4.0,630,2k,47,--
Indorama,3.9,630,2.2k,38,5
Nihilent,3.2,630,5k,65,32
The Lalit,3.6,630,1.6k,26,10
Karvy Stock Broking,3.6,629,1.6k,9,--
Times Group,3.7,633,4.7k,31,15
Capco Technologies,3.7,633,4.6k,88,161
Welspun World,3.6,632,2.4k,56,75
InternEzy,4.9,632,5,67,4
Yatra,3.3,631,3k,34,2
Mindarika,4.0,630,2k,47,--
Indorama,3.9,630,2.2k,38,5
Nihilent,3.2,630,5k,65,32
The Lalit,3.6,630,1.6k,26,10
Karvy Stock Broking,3.6,629,1.6k,9,--
DeHaat,3.5,629,1.9k,65,14
Times Group,3.7,633,4.7k,31,15
Capco Technologies,3.7,633,4.6k,88,161
Welspun World,3.6,632,2.4k,56,75
InternEzy,4.9,632,5,67,4
Yatra,3.3,631,3k,34,2
Mindarika,4.0,630,2k,47,--
Indorama,3.9,630,2.2k,38,5
Nihilent,3.2,630,5k,65,32
The Lalit,3.6,630,1.6k,26,10
Karvy Stock Broking,3.6,629,1.6k,9,--
DeHaat,3.5,629,1.9k,65,14
Magic Edtech,3.6,628,3.5k,79,--
Times Group,3.7,633,4.7k,31,15
Capco Technologies,3.7,633,4.6k,88,161
Welspun World,3.6,632,2.4k,56,75
InternEzy,4.9,632,5,67,4
Yatra,3.3,631,3k,34,2
Mindarika,4.0,630,2k,47,--
Indorama,3.9,630,2.2k,38,5
Nihilent,3.2,630,5k,65,32
The Lalit,3.6,630,1.6k,26,10
Karvy Stock Broking,3.6,629,1.6k,9,--
DeHaat,3.5,629,1.9k,65,14
Magic Edtech,3.6,628,3.5k,79,--
R.S. Infraprojects,4.0,628,1.6k,34,2
Times Group,3.7,633,4.7k,31,15
Capco Technologies,3.7,633,4.6k,88,161
Welspun World,3.6,632,2.4k,56,75
InternEzy,4.9,632,5,67,4
Yatra,3.3,631,3k,34,2
Mindarika,4.0,630,2k,47,--
Indorama,3.9,630,2.2k,38,5
Nihilent,3.2,630,5k,65,32
The Lalit,3.6,630,1.6k,26,10
Karvy Stock Broking,3.6,629,1.6k,9,--
DeHaat,3.5,629,1.9k,65,14
Magic Edtech,3.6,628,3.5k,79,--
R.S. Infraprojects,4.0,628,1.6k,34,2
SMC Global Securities,3.4,627,2.5k,54,12
Times Group,3.7,633,4.7k,31,15
Capco Technologies,3.7,633,4.6k,88,161
Welspun World,3.6,632,2.4k,56,75
InternEzy,4.9,632,5,67,4
Yatra,3.3,631,3k,34,2
Mindarika,4.0,630,2k,47,--
Indorama,3.9,630,2.2k,38,5
Nihilent,3.2,630,5k,65,32
The Lalit,3.6,630,1.6k,26,10
Karvy Stock Broking,3.6,629,1.6k,9,--
DeHaat,3.5,629,1.9k,65,14
Magic Edtech,3.6,628,3.5k,79,--
R.S. Infraprojects,4.0,628,1.6k,34,2
SMC Global Securities,3.4,627,2.5k,54,12
Fiat India Automobiles,3.5,628,2.2k,43,2
Times Group,3.7,633,4.7k,31,15
Capco Technologies,3.7,633,4.6k,88,161
Welspun World,3.6,632,2.4k,56,75
InternEzy,4.9,632,5,67,4
Yatra,3.3,631,3k,34,2
Mindarika,4.0,630,2k,47,--
Indorama,3.9,630,2.2k,38,5
Nihilent,3.2,630,5k,65,32
The Lalit,3.6,630,1.6k,26,10
Karvy Stock Broking,3.6,629,1.6k,9,--
DeHaat,3.5,629,1.9k,65,14
Magic Edtech,3.6,628,3.5k,79,--
R.S. Infraprojects,4.0,628,1.6k,34,2
SMC Global Securities,3.4,627,2.5k,54,12
Fiat India Automobiles,3.5,628,2.2k,43,2
Sintex BAPL,3.6,626,2.3k,36,--
Times Group,3.7,633,4.7k,31,15
Capco Technologies,3.7,633,4.6k,88,161
Welspun World,3.6,632,2.4k,56,75
InternEzy,4.9,632,5,67,4
Yatra,3.3,631,3k,34,2
Mindarika,4.0,630,2k,47,--
Indorama,3.9,630,2.2k,38,5
Nihilent,3.2,630,5k,65,32
The Lalit,3.6,630,1.6k,26,10
Karvy Stock Broking,3.6,629,1.6k,9,--
DeHaat,3.5,629,1.9k,65,14
Magic Edtech,3.6,628,3.5k,79,--
R.S. Infraprojects,4.0,628,1.6k,34,2
SMC Global Securities,3.4,627,2.5k,54,12
Fiat India Automobiles,3.5,628,2.2k,43,2
Sintex BAPL,3.6,626,2.3k,36,--
ReSource Pro,3.8,626,3k,122,36
Times Group,3.7,633,4.7k,31,15
Capco Technologies,3.7,633,4.6k,88,161
Welspun World,3.6,632,2.4k,56,75
InternEzy,4.9,632,5,67,4
Yatra,3.3,631,3k,34,2
Mindarika,4.0,630,2k,47,--
Indorama,3.9,630,2.2k,38,5
Nihilent,3.2,630,5k,65,32
The Lalit,3.6,630,1.6k,26,10
Karvy Stock Broking,3.6,629,1.6k,9,--
DeHaat,3.5,629,1.9k,65,14
Magic Edtech,3.6,628,3.5k,79,--
R.S. Infraprojects,4.0,628,1.6k,34,2
SMC Global Securities,3.4,627,2.5k,54,12
Fiat India Automobiles,3.5,628,2.2k,43,2
Sintex BAPL,3.6,626,2.3k,36,--
ReSource Pro,3.8,626,3k,122,36
Encore Capital Group,3.9,625,2.2k,36,--
Times Group,3.7,633,4.7k,31,15
Capco Technologies,3.7,633,4.6k,88,161
Welspun World,3.6,632,2.4k,56,75
InternEzy,4.9,632,5,67,4
Yatra,3.3,631,3k,34,2
Mindarika,4.0,630,2k,47,--
Indorama,3.9,630,2.2k,38,5
Nihilent,3.2,630,5k,65,32
The Lalit,3.6,630,1.6k,26,10
Karvy Stock Broking,3.6,629,1.6k,9,--
DeHaat,3.5,629,1.9k,65,14
Magic Edtech,3.6,628,3.5k,79,--
R.S. Infraprojects,4.0,628,1.6k,34,2
SMC Global Securities,3.4,627,2.5k,54,12
Fiat India Automobiles,3.5,628,2.2k,43,2
Sintex BAPL,3.6,626,2.3k,36,--
ReSource Pro,3.8,626,3k,122,36
Encore Capital Group,3.9,625,2.2k,36,--
Wissen Infotech,3.5,625,4.5k,59,36
Times Group,3.7,633,4.7k,31,15
Capco Technologies,3.7,633,4.6k,88,161
Welspun World,3.6,632,2.4k,56,75
InternEzy,4.9,632,5,67,4
Yatra,3.3,631,3k,34,2
Mindarika,4.0,630,2k,47,--
Indorama,3.9,630,2.2k,38,5
Nihilent,3.2,630,5k,65,32
The Lalit,3.6,630,1.6k,26,10
Karvy Stock Broking,3.6,629,1.6k,9,--
DeHaat,3.5,629,1.9k,65,14
Magic Edtech,3.6,628,3.5k,79,--
R.S. Infraprojects,4.0,628,1.6k,34,2
SMC Global Securities,3.4,627,2.5k,54,12
Fiat India Automobiles,3.5,628,2.2k,43,2
Sintex BAPL,3.6,626,2.3k,36,--
ReSource Pro,3.8,626,3k,122,36
Encore Capital Group,3.9,625,2.2k,36,--
Wissen Infotech,3.5,625,4.5k,59,36
Pennar Industries,3.5,625,2.9k,35,5
My Home Industries,4.1,624,2.2k,43,1
My Home Industries,4.1,624,2.2k,43,1
HCL Healthcare,4.6,624,911,117,13
My Home Industries,4.1,624,2.2k,43,1
HCL Healthcare,4.6,624,911,117,13
Neurealm,3.4,623,5.2k,76,59
My Home Industries,4.1,624,2.2k,43,1
HCL Healthcare,4.6,624,911,117,13
Neurealm,3.4,623,5.2k,76,59
Crowne Plaza,4.1,623,1.2k,22,--
My Home Industries,4.1,624,2.2k,43,1
HCL Healthcare,4.6,624,911,117,13
Neurealm,3.4,623,5.2k,76,59
Crowne Plaza,4.1,623,1.2k,22,--
NoBrokerHood,2.8,623,2k,65,9
My Home Industries,4.1,624,2.2k,43,1
HCL Healthcare,4.6,624,911,117,13
Neurealm,3.4,623,5.2k,76,59
Crowne Plaza,4.1,623,1.2k,22,--
NoBrokerHood,2.8,623,2k,65,9
Licious,3.6,623,2.8k,72,19
My Home Industries,4.1,624,2.2k,43,1
HCL Healthcare,4.6,624,911,117,13
Neurealm,3.4,623,5.2k,76,59
Crowne Plaza,4.1,623,1.2k,22,--
NoBrokerHood,2.8,623,2k,65,9
Licious,3.6,623,2.8k,72,19
NICE,3.6,622,4.2k,97,59
My Home Industries,4.1,624,2.2k,43,1
HCL Healthcare,4.6,624,911,117,13
Neurealm,3.4,623,5.2k,76,59
Crowne Plaza,4.1,623,1.2k,22,--
NoBrokerHood,2.8,623,2k,65,9
Licious,3.6,623,2.8k,72,19
NICE,3.6,622,4.2k,97,59
Mount Litera Zee School,3.7,622,1.5k,39,14
My Home Industries,4.1,624,2.2k,43,1
HCL Healthcare,4.6,624,911,117,13
Neurealm,3.4,623,5.2k,76,59
Crowne Plaza,4.1,623,1.2k,22,--
NoBrokerHood,2.8,623,2k,65,9
Licious,3.6,623,2.8k,72,19
NICE,3.6,622,4.2k,97,59
Mount Litera Zee School,3.7,622,1.5k,39,14
Quality Austria Central Asia,3.5,623,1.7k,25,19
My Home Industries,4.1,624,2.2k,43,1
HCL Healthcare,4.6,624,911,117,13
Neurealm,3.4,623,5.2k,76,59
Crowne Plaza,4.1,623,1.2k,22,--
NoBrokerHood,2.8,623,2k,65,9
Licious,3.6,623,2.8k,72,19
NICE,3.6,622,4.2k,97,59
Mount Litera Zee School,3.7,622,1.5k,39,14
Quality Austria Central Asia,3.5,623,1.7k,25,19
TransUnion,3.7,622,5.7k,100,24
My Home Industries,4.1,624,2.2k,43,1
HCL Healthcare,4.6,624,911,117,13
Neurealm,3.4,623,5.2k,76,59
Crowne Plaza,4.1,623,1.2k,22,--
NoBrokerHood,2.8,623,2k,65,9
Licious,3.6,623,2.8k,72,19
NICE,3.6,622,4.2k,97,59
Mount Litera Zee School,3.7,622,1.5k,39,14
Quality Austria Central Asia,3.5,623,1.7k,25,19
TransUnion,3.7,622,5.7k,100,24
Electrotherm,4.2,622,2.8k,39,4
My Home Industries,4.1,624,2.2k,43,1
HCL Healthcare,4.6,624,911,117,13
Neurealm,3.4,623,5.2k,76,59
Crowne Plaza,4.1,623,1.2k,22,--
NoBrokerHood,2.8,623,2k,65,9
Licious,3.6,623,2.8k,72,19
NICE,3.6,622,4.2k,97,59
Mount Litera Zee School,3.7,622,1.5k,39,14
Quality Austria Central Asia,3.5,623,1.7k,25,19
TransUnion,3.7,622,5.7k,100,24
Electrotherm,4.2,622,2.8k,39,4
TCI Express,3.9,621,1.8k,42,--
My Home Industries,4.1,624,2.2k,43,1
HCL Healthcare,4.6,624,911,117,13
Neurealm,3.4,623,5.2k,76,59
Crowne Plaza,4.1,623,1.2k,22,--
NoBrokerHood,2.8,623,2k,65,9
Licious,3.6,623,2.8k,72,19
NICE,3.6,622,4.2k,97,59
Mount Litera Zee School,3.7,622,1.5k,39,14
Quality Austria Central Asia,3.5,623,1.7k,25,19
TransUnion,3.7,622,5.7k,100,24
Electrotherm,4.2,622,2.8k,39,4
TCI Express,3.9,621,1.8k,42,--
Continental,3.7,620,3.5k,56,--
My Home Industries,4.1,624,2.2k,43,1
HCL Healthcare,4.6,624,911,117,13
Neurealm,3.4,623,5.2k,76,59
Crowne Plaza,4.1,623,1.2k,22,--
NoBrokerHood,2.8,623,2k,65,9
Licious,3.6,623,2.8k,72,19
NICE,3.6,622,4.2k,97,59
Mount Litera Zee School,3.7,622,1.5k,39,14
Quality Austria Central Asia,3.5,623,1.7k,25,19
TransUnion,3.7,622,5.7k,100,24
Electrotherm,4.2,622,2.8k,39,4
TCI Express,3.9,621,1.8k,42,--
Continental,3.7,620,3.5k,56,--
Vasudha Pharma Chem,4.0,620,2.2k,32,5
My Home Industries,4.1,624,2.2k,43,1
HCL Healthcare,4.6,624,911,117,13
Neurealm,3.4,623,5.2k,76,59
Crowne Plaza,4.1,623,1.2k,22,--
NoBrokerHood,2.8,623,2k,65,9
Licious,3.6,623,2.8k,72,19
NICE,3.6,622,4.2k,97,59
Mount Litera Zee School,3.7,622,1.5k,39,14
Quality Austria Central Asia,3.5,623,1.7k,25,19
TransUnion,3.7,622,5.7k,100,24
Electrotherm,4.2,622,2.8k,39,4
TCI Express,3.9,621,1.8k,42,--
Continental,3.7,620,3.5k,56,--
Vasudha Pharma Chem,4.0,620,2.2k,32,5
Welspun Corp,4.0,620,2k,33,--
My Home Industries,4.1,624,2.2k,43,1
HCL Healthcare,4.6,624,911,117,13
Neurealm,3.4,623,5.2k,76,59
Crowne Plaza,4.1,623,1.2k,22,--
NoBrokerHood,2.8,623,2k,65,9
Licious,3.6,623,2.8k,72,19
NICE,3.6,622,4.2k,97,59
Mount Litera Zee School,3.7,622,1.5k,39,14
Quality Austria Central Asia,3.5,623,1.7k,25,19
TransUnion,3.7,622,5.7k,100,24
Electrotherm,4.2,622,2.8k,39,4
TCI Express,3.9,621,1.8k,42,--
Continental,3.7,620,3.5k,56,--
Vasudha Pharma Chem,4.0,620,2.2k,32,5
Welspun Corp,4.0,620,2k,33,--
Tejas Networks,3.8,619,3.6k,87,--
My Home Industries,4.1,624,2.2k,43,1
HCL Healthcare,4.6,624,911,117,13
Neurealm,3.4,623,5.2k,76,59
Crowne Plaza,4.1,623,1.2k,22,--
NoBrokerHood,2.8,623,2k,65,9
Licious,3.6,623,2.8k,72,19
NICE,3.6,622,4.2k,97,59
Mount Litera Zee School,3.7,622,1.5k,39,14
Quality Austria Central Asia,3.5,623,1.7k,25,19
