name,rating,reviews,salaries,interviews,jobs
Tech Mahindra,3.4,41.8k,2.8L,4.4k,467
Genpact,3.6,40.1k,2.3L,3.7k,304
Teleperformance,3.8,35.9k,94.9k,2.1k,1.3k
Axis Bank,3.6,31.7k,1L,1.8k,233
Jio,4.3,31.1k,62.3k,3.3k,3
Concentrix Corporation,3.6,31.1k,1.3L,1.9k,80
TCS,3.4,1.1L,9.6L,11.7k,2.1k
Accenture,3.7,70k,6.4L,9k,36.5k
Wipro,3.6,62.2k,4.7L,6.4k,6.4k
Cognizant,3.7,59.2k,5.9L,6.2k,869
Capgemini,3.7,50.8k,4.7L,5.3k,2k
HDFC Bank,3.8,49.5k,1.5L,2.8k,203
Infosys,3.5,46.5k,5.1L,8.2k,2.8k
ICICI Bank,4.0,44.6k,1.5L,2.8k,31
HCLTech,3.4,43.7k,3.7L,4.4k,297
Tech Mahindra,3.4,41.8k,2.8L,4.4k,467
Genpact,3.6,40.1k,2.3L,3.7k,304
Teleperformance,3.8,35.9k,94.9k,2.1k,1.3k
Axis Bank,3.6,31.7k,1L,1.8k,233
Jio,4.3,31.1k,62.3k,3.3k,3
Concentrix Corporation,3.6,31.1k,1.3L,1.9k,80
Amazon,3.9,30.2k,1.4L,5.7k,1.3k
TCS,3.4,1.1L,9.6L,11.7k,2.1k
Accenture,3.7,70k,6.4L,9k,36.5k
Wipro,3.6,62.2k,4.7L,6.4k,6.4k
Cognizant,3.7,59.2k,5.9L,6.2k,869
Capgemini,3.7,50.8k,4.7L,5.3k,2k
HDFC Bank,3.8,49.5k,1.5L,2.8k,203
Infosys,3.5,46.5k,5.1L,8.2k,2.8k
ICICI Bank,4.0,44.6k,1.5L,2.8k,31
HCLTech,3.4,43.7k,3.7L,4.4k,297
Tech Mahindra,3.4,41.8k,2.8L,4.4k,467
Genpact,3.6,40.1k,2.3L,3.7k,304
Teleperformance,3.8,35.9k,94.9k,2.1k,1.3k
Axis Bank,3.6,31.7k,1L,1.8k,233
Jio,4.3,31.1k,62.3k,3.3k,3
Concentrix Corporation,3.6,31.1k,1.3L,1.9k,80
Amazon,3.9,30.2k,1.4L,5.7k,1.3k
iEnergizer,4.6,27.3k,23.9k,961,57
TCS,3.4,1.1L,9.6L,11.7k,2.1k
Accenture,3.7,70k,6.4L,9k,36.5k
Wipro,3.6,62.2k,4.7L,6.4k,6.4k
Cognizant,3.7,59.2k,5.9L,6.2k,869
Capgemini,3.7,50.8k,4.7L,5.3k,2k
HDFC Bank,3.8,49.5k,1.5L,2.8k,203
Infosys,3.5,46.5k,5.1L,8.2k,2.8k
ICICI Bank,4.0,44.6k,1.5L,2.8k,31
HCLTech,3.4,43.7k,3.7L,4.4k,297
Tech Mahindra,3.4,41.8k,2.8L,4.4k,467
Genpact,3.6,40.1k,2.3L,3.7k,304
Teleperformance,3.8,35.9k,94.9k,2.1k,1.3k
Axis Bank,3.6,31.7k,1L,1.8k,233
Jio,4.3,31.1k,62.3k,3.3k,3
Concentrix Corporation,3.6,31.1k,1.3L,1.9k,80
Amazon,3.9,30.2k,1.4L,5.7k,1.3k
iEnergizer,4.6,27.3k,23.9k,961,57
Reliance Retail,3.9,26.6k,73.8k,1.9k,17
TCS,3.4,1.1L,9.6L,11.7k,2.1k
Accenture,3.7,70k,6.4L,9k,36.5k
Wipro,3.6,62.2k,4.7L,6.4k,6.4k
Cognizant,3.7,59.2k,5.9L,6.2k,869
Capgemini,3.7,50.8k,4.7L,5.3k,2k
HDFC Bank,3.8,49.5k,1.5L,2.8k,203
Infosys,3.5,46.5k,5.1L,8.2k,2.8k
ICICI Bank,4.0,44.6k,1.5L,2.8k,31
HCLTech,3.4,43.7k,3.7L,4.4k,297
Tech Mahindra,3.4,41.8k,2.8L,4.4k,467
Genpact,3.6,40.1k,2.3L,3.7k,304
Teleperformance,3.8,35.9k,94.9k,2.1k,1.3k
Axis Bank,3.6,31.7k,1L,1.8k,233
Jio,4.3,31.1k,62.3k,3.3k,3
Concentrix Corporation,3.6,31.1k,1.3L,1.9k,80
Amazon,3.9,30.2k,1.4L,5.7k,1.3k
iEnergizer,4.6,27.3k,23.9k,961,57
Reliance Retail,3.9,26.6k,73.8k,1.9k,17
IBM,3.9,25.1k,2.1L,2.6k,2.9k
TCS,3.4,1.1L,9.6L,11.7k,2.1k
Accenture,3.7,70k,6.4L,9k,36.5k
Wipro,3.6,62.2k,4.7L,6.4k,6.4k
Cognizant,3.7,59.2k,5.9L,6.2k,869
Capgemini,3.7,50.8k,4.7L,5.3k,2k
HDFC Bank,3.8,49.5k,1.5L,2.8k,203
Infosys,3.5,46.5k,5.1L,8.2k,2.8k
ICICI Bank,4.0,44.6k,1.5L,2.8k,31
HCLTech,3.4,43.7k,3.7L,4.4k,297
Tech Mahindra,3.4,41.8k,2.8L,4.4k,467
Genpact,3.6,40.1k,2.3L,3.7k,304
Teleperformance,3.8,35.9k,94.9k,2.1k,1.3k
Axis Bank,3.6,31.7k,1L,1.8k,233
Jio,4.3,31.1k,62.3k,3.3k,3
Concentrix Corporation,3.6,31.1k,1.3L,1.9k,80
Amazon,3.9,30.2k,1.4L,5.7k,1.3k
iEnergizer,4.6,27.3k,23.9k,961,57
Reliance Retail,3.9,26.6k,73.8k,1.9k,17
IBM,3.9,25.1k,2.1L,2.6k,2.9k
LTIMindtree,3.6,24.8k,1.9L,3.2k,491
HDB Financial Services,3.9,24.7k,50.2k,1k,158
HDB Financial Services,3.9,24.7k,50.2k,1k,158
Larsen & Toubro Limited,3.9,22.8k,73.6k,1.7k,203
HDB Financial Services,3.9,24.7k,50.2k,1k,158
Larsen & Toubro Limited,3.9,22.8k,73.6k,1.7k,203
Deloitte,3.7,22k,2.4L,3.2k,1.2k
HDB Financial Services,3.9,24.7k,50.2k,1k,158
Larsen & Toubro Limited,3.9,22.8k,73.6k,1.7k,203
Deloitte,3.7,22k,2.4L,3.2k,1.2k
Kotak Mahindra Bank,3.6,21.5k,86k,1.3k,83
HDB Financial Services,3.9,24.7k,50.2k,1k,158
Larsen & Toubro Limited,3.9,22.8k,73.6k,1.7k,203
Deloitte,3.7,22k,2.4L,3.2k,1.2k
Kotak Mahindra Bank,3.6,21.5k,86k,1.3k,83
Reliance Industries,4.0,19.5k,71.9k,1.5k,55
HDB Financial Services,3.9,24.7k,50.2k,1k,158
Larsen & Toubro Limited,3.9,22.8k,73.6k,1.7k,203
Deloitte,3.7,22k,2.4L,3.2k,1.2k
Kotak Mahindra Bank,3.6,21.5k,86k,1.3k,83
Reliance Industries,4.0,19.5k,71.9k,1.5k,55
Vodafone Idea,3.9,17.3k,50.3k,651,34
HDB Financial Services,3.9,24.7k,50.2k,1k,158
Larsen & Toubro Limited,3.9,22.8k,73.6k,1.7k,203
Deloitte,3.7,22k,2.4L,3.2k,1.2k
Kotak Mahindra Bank,3.6,21.5k,86k,1.3k,83
Reliance Industries,4.0,19.5k,71.9k,1.5k,55
Vodafone Idea,3.9,17.3k,50.3k,651,34
BYJU'S,3.2,16.6k,54.2k,2.1k,--
HDB Financial Services,3.9,24.7k,50.2k,1k,158
Larsen & Toubro Limited,3.9,22.8k,73.6k,1.7k,203
Deloitte,3.7,22k,2.4L,3.2k,1.2k
Kotak Mahindra Bank,3.6,21.5k,86k,1.3k,83
Reliance Industries,4.0,19.5k,71.9k,1.5k,55
Vodafone Idea,3.9,17.3k,50.3k,651,34
BYJU'S,3.2,16.6k,54.2k,2.1k,--
Bharti Airtel,3.9,16.6k,48.9k,1k,116
HDB Financial Services,3.9,24.7k,50.2k,1k,158
Larsen & Toubro Limited,3.9,22.8k,73.6k,1.7k,203
Deloitte,3.7,22k,2.4L,3.2k,1.2k
Kotak Mahindra Bank,3.6,21.5k,86k,1.3k,83
Reliance Industries,4.0,19.5k,71.9k,1.5k,55
Vodafone Idea,3.9,17.3k,50.3k,651,34
BYJU'S,3.2,16.6k,54.2k,2.1k,--
Bharti Airtel,3.9,16.6k,48.9k,1k,116
WNS,3.3,14.5k,68.7k,1.2k,94
HDB Financial Services,3.9,24.7k,50.2k,1k,158
Larsen & Toubro Limited,3.9,22.8k,73.6k,1.7k,203
Deloitte,3.7,22k,2.4L,3.2k,1.2k
Kotak Mahindra Bank,3.6,21.5k,86k,1.3k,83
Reliance Industries,4.0,19.5k,71.9k,1.5k,55
Vodafone Idea,3.9,17.3k,50.3k,651,34
BYJU'S,3.2,16.6k,54.2k,2.1k,--
Bharti Airtel,3.9,16.6k,48.9k,1k,116
WNS,3.3,14.5k,68.7k,1.2k,94
AU Small Finance Bank,3.9,13.8k,28.6k,644,18
HDB Financial Services,3.9,24.7k,50.2k,1k,158
Larsen & Toubro Limited,3.9,22.8k,73.6k,1.7k,203
Deloitte,3.7,22k,2.4L,3.2k,1.2k
Kotak Mahindra Bank,3.6,21.5k,86k,1.3k,83
Reliance Industries,4.0,19.5k,71.9k,1.5k,55
Vodafone Idea,3.9,17.3k,50.3k,651,34
BYJU'S,3.2,16.6k,54.2k,2.1k,--
Bharti Airtel,3.9,16.6k,48.9k,1k,116
WNS,3.3,14.5k,68.7k,1.2k,94
AU Small Finance Bank,3.9,13.8k,28.6k,644,18
Tata Motors,4.1,13.7k,42.9k,1.2k,167
HDB Financial Services,3.9,24.7k,50.2k,1k,158
Larsen & Toubro Limited,3.9,22.8k,73.6k,1.7k,203
Deloitte,3.7,22k,2.4L,3.2k,1.2k
Kotak Mahindra Bank,3.6,21.5k,86k,1.3k,83
Reliance Industries,4.0,19.5k,71.9k,1.5k,55
Vodafone Idea,3.9,17.3k,50.3k,651,34
BYJU'S,3.2,16.6k,54.2k,2.1k,--
Bharti Airtel,3.9,16.6k,48.9k,1k,116
WNS,3.3,14.5k,68.7k,1.2k,94
AU Small Finance Bank,3.9,13.8k,28.6k,644,18
Tata Motors,4.1,13.7k,42.9k,1.2k,167
Ernst & Young,3.4,13.6k,1.4L,1.3k,1.8k
HDB Financial Services,3.9,24.7k,50.2k,1k,158
Larsen & Toubro Limited,3.9,22.8k,73.6k,1.7k,203
Deloitte,3.7,22k,2.4L,3.2k,1.2k
Kotak Mahindra Bank,3.6,21.5k,86k,1.3k,83
Reliance Industries,4.0,19.5k,71.9k,1.5k,55
Vodafone Idea,3.9,17.3k,50.3k,651,34
BYJU'S,3.2,16.6k,54.2k,2.1k,--
Bharti Airtel,3.9,16.6k,48.9k,1k,116
WNS,3.3,14.5k,68.7k,1.2k,94
AU Small Finance Bank,3.9,13.8k,28.6k,644,18
Tata Motors,4.1,13.7k,42.9k,1.2k,167
Ernst & Young,3.4,13.6k,1.4L,1.3k,1.8k
IDFC FIRST Bank,3.9,13.6k,48.1k,870,60
HDB Financial Services,3.9,24.7k,50.2k,1k,158
Larsen & Toubro Limited,3.9,22.8k,73.6k,1.7k,203
Deloitte,3.7,22k,2.4L,3.2k,1.2k
Kotak Mahindra Bank,3.6,21.5k,86k,1.3k,83
Reliance Industries,4.0,19.5k,71.9k,1.5k,55
Vodafone Idea,3.9,17.3k,50.3k,651,34
BYJU'S,3.2,16.6k,54.2k,2.1k,--
Bharti Airtel,3.9,16.6k,48.9k,1k,116
WNS,3.3,14.5k,68.7k,1.2k,94
AU Small Finance Bank,3.9,13.8k,28.6k,644,18
Tata Motors,4.1,13.7k,42.9k,1.2k,167
Ernst & Young,3.4,13.6k,1.4L,1.3k,1.8k
IDFC FIRST Bank,3.9,13.6k,48.1k,870,60
IndusInd Bank,3.4,13.6k,51.3k,737,165
HDB Financial Services,3.9,24.7k,50.2k,1k,158
Larsen & Toubro Limited,3.9,22.8k,73.6k,1.7k,203
Deloitte,3.7,22k,2.4L,3.2k,1.2k
Kotak Mahindra Bank,3.6,21.5k,86k,1.3k,83
Reliance Industries,4.0,19.5k,71.9k,1.5k,55
Vodafone Idea,3.9,17.3k,50.3k,651,34
BYJU'S,3.2,16.6k,54.2k,2.1k,--
Bharti Airtel,3.9,16.6k,48.9k,1k,116
WNS,3.3,14.5k,68.7k,1.2k,94
AU Small Finance Bank,3.9,13.8k,28.6k,644,18
Tata Motors,4.1,13.7k,42.9k,1.2k,167
Ernst & Young,3.4,13.6k,1.4L,1.3k,1.8k
IDFC FIRST Bank,3.9,13.6k,48.1k,870,60
IndusInd Bank,3.4,13.6k,51.3k,737,165
Flipkart,3.9,12.5k,53.3k,1.6k,208
HDB Financial Services,3.9,24.7k,50.2k,1k,158
Larsen & Toubro Limited,3.9,22.8k,73.6k,1.7k,203
Deloitte,3.7,22k,2.4L,3.2k,1.2k
Kotak Mahindra Bank,3.6,21.5k,86k,1.3k,83
Reliance Industries,4.0,19.5k,71.9k,1.5k,55
Vodafone Idea,3.9,17.3k,50.3k,651,34
BYJU'S,3.2,16.6k,54.2k,2.1k,--
Bharti Airtel,3.9,16.6k,48.9k,1k,116
WNS,3.3,14.5k,68.7k,1.2k,94
AU Small Finance Bank,3.9,13.8k,28.6k,644,18
Tata Motors,4.1,13.7k,42.9k,1.2k,167
Ernst & Young,3.4,13.6k,1.4L,1.3k,1.8k
IDFC FIRST Bank,3.9,13.6k,48.1k,870,60
IndusInd Bank,3.4,13.6k,51.3k,737,165
Flipkart,3.9,12.5k,53.3k,1.6k,208
Bajaj Finserv,3.9,12.2k,29.9k,681,4
HDB Financial Services,3.9,24.7k,50.2k,1k,158
Larsen & Toubro Limited,3.9,22.8k,73.6k,1.7k,203
Deloitte,3.7,22k,2.4L,3.2k,1.2k
Kotak Mahindra Bank,3.6,21.5k,86k,1.3k,83
Reliance Industries,4.0,19.5k,71.9k,1.5k,55
Vodafone Idea,3.9,17.3k,50.3k,651,34
BYJU'S,3.2,16.6k,54.2k,2.1k,--
Bharti Airtel,3.9,16.6k,48.9k,1k,116
WNS,3.3,14.5k,68.7k,1.2k,94
AU Small Finance Bank,3.9,13.8k,28.6k,644,18
Tata Motors,4.1,13.7k,42.9k,1.2k,167
Ernst & Young,3.4,13.6k,1.4L,1.3k,1.8k
IDFC FIRST Bank,3.9,13.6k,48.1k,870,60
IndusInd Bank,3.4,13.6k,51.3k,737,165
Flipkart,3.9,12.5k,53.3k,1.6k,208
Bajaj Finserv,3.9,12.2k,29.9k,681,4
PwC,3.3,11.8k,1.2L,1.5k,1.2k
HDB Financial Services,3.9,24.7k,50.2k,1k,158
Larsen & Toubro Limited,3.9,22.8k,73.6k,1.7k,203
Deloitte,3.7,22k,2.4L,3.2k,1.2k
Kotak Mahindra Bank,3.6,21.5k,86k,1.3k,83
Reliance Industries,4.0,19.5k,71.9k,1.5k,55
Vodafone Idea,3.9,17.3k,50.3k,651,34
BYJU'S,3.2,16.6k,54.2k,2.1k,--
Bharti Airtel,3.9,16.6k,48.9k,1k,116
WNS,3.3,14.5k,68.7k,1.2k,94
AU Small Finance Bank,3.9,13.8k,28.6k,644,18
Tata Motors,4.1,13.7k,42.9k,1.2k,167
Ernst & Young,3.4,13.6k,1.4L,1.3k,1.8k
IDFC FIRST Bank,3.9,13.6k,48.1k,870,60
IndusInd Bank,3.4,13.6k,51.3k,737,165
Flipkart,3.9,12.5k,53.3k,1.6k,208
Bajaj Finserv,3.9,12.2k,29.9k,681,4
PwC,3.3,11.8k,1.2L,1.5k,1.2k
Muthoot FinCorp,4.5,11.7k,8.8k,1.7k,72
HDB Financial Services,3.9,24.7k,50.2k,1k,158
Larsen & Toubro Limited,3.9,22.8k,73.6k,1.7k,203
Deloitte,3.7,22k,2.4L,3.2k,1.2k
Kotak Mahindra Bank,3.6,21.5k,86k,1.3k,83
Reliance Industries,4.0,19.5k,71.9k,1.5k,55
Vodafone Idea,3.9,17.3k,50.3k,651,34
BYJU'S,3.2,16.6k,54.2k,2.1k,--
Bharti Airtel,3.9,16.6k,48.9k,1k,116
WNS,3.3,14.5k,68.7k,1.2k,94
AU Small Finance Bank,3.9,13.8k,28.6k,644,18
Tata Motors,4.1,13.7k,42.9k,1.2k,167
Ernst & Young,3.4,13.6k,1.4L,1.3k,1.8k
IDFC FIRST Bank,3.9,13.6k,48.1k,870,60
IndusInd Bank,3.4,13.6k,51.3k,737,165
Flipkart,3.9,12.5k,53.3k,1.6k,208
Bajaj Finserv,3.9,12.2k,29.9k,681,4
PwC,3.3,11.8k,1.2L,1.5k,1.2k
Muthoot FinCorp,4.5,11.7k,8.8k,1.7k,72
DXC Technology,3.6,11.6k,72k,878,258
HDB Financial Services,3.9,24.7k,50.2k,1k,158
Larsen & Toubro Limited,3.9,22.8k,73.6k,1.7k,203
Deloitte,3.7,22k,2.4L,3.2k,1.2k
Kotak Mahindra Bank,3.6,21.5k,86k,1.3k,83
Reliance Industries,4.0,19.5k,71.9k,1.5k,55
Vodafone Idea,3.9,17.3k,50.3k,651,34
BYJU'S,3.2,16.6k,54.2k,2.1k,--
Bharti Airtel,3.9,16.6k,48.9k,1k,116
WNS,3.3,14.5k,68.7k,1.2k,94
AU Small Finance Bank,3.9,13.8k,28.6k,644,18
Tata Motors,4.1,13.7k,42.9k,1.2k,167
Ernst & Young,3.4,13.6k,1.4L,1.3k,1.8k
IDFC FIRST Bank,3.9,13.6k,48.1k,870,60
IndusInd Bank,3.4,13.6k,51.3k,737,165
Flipkart,3.9,12.5k,53.3k,1.6k,208
Bajaj Finserv,3.9,12.2k,29.9k,681,4
PwC,3.3,11.8k,1.2L,1.5k,1.2k
Muthoot FinCorp,4.5,11.7k,8.8k,1.7k,72
DXC Technology,3.6,11.6k,72k,878,258
Mahindra & Mahindra,4.0,11.6k,39.2k,816,--
Infosys BPM,3.5,11.6k,71.7k,1.1k,82
Infosys BPM,3.5,11.6k,71.7k,1.1k,82
HDFC Life,3.9,11.5k,32.6k,753,109
Infosys BPM,3.5,11.6k,71.7k,1.1k,82
HDFC Life,3.9,11.5k,32.6k,753,109
Bandhan Bank,3.7,10.3k,25.1k,701,10
Infosys BPM,3.5,11.6k,71.7k,1.1k,82
HDFC Life,3.9,11.5k,32.6k,753,109
Bandhan Bank,3.7,10.3k,25.1k,701,10
Conneqt Business Solutions,3.6,10k,26.3k,544,398
Infosys BPM,3.5,11.6k,71.7k,1.1k,82
HDFC Life,3.9,11.5k,32.6k,753,109
Bandhan Bank,3.7,10.3k,25.1k,701,10
Conneqt Business Solutions,3.6,10k,26.3k,544,398
Mphasis,3.3,9.9k,72.5k,896,38
Infosys BPM,3.5,11.6k,71.7k,1.1k,82
HDFC Life,3.9,11.5k,32.6k,753,109
Bandhan Bank,3.7,10.3k,25.1k,701,10
Conneqt Business Solutions,3.6,10k,26.3k,544,398
Mphasis,3.3,9.9k,72.5k,896,38
Yes Bank,3.7,9.7k,43.3k,523,179
Infosys BPM,3.5,11.6k,71.7k,1.1k,82
HDFC Life,3.9,11.5k,32.6k,753,109
Bandhan Bank,3.7,10.3k,25.1k,701,10
Conneqt Business Solutions,3.6,10k,26.3k,544,398
Mphasis,3.3,9.9k,72.5k,896,38
Yes Bank,3.7,9.7k,43.3k,523,179
Tata Steel,4.0,9.6k,33.6k,1k,--
Infosys BPM,3.5,11.6k,71.7k,1.1k,82
HDFC Life,3.9,11.5k,32.6k,753,109
Bandhan Bank,3.7,10.3k,25.1k,701,10
Conneqt Business Solutions,3.6,10k,26.3k,544,398
Mphasis,3.3,9.9k,72.5k,896,38
Yes Bank,3.7,9.7k,43.3k,523,179
Tata Steel,4.0,9.6k,33.6k,1k,--
Quess,3.8,9.3k,30.4k,510,4
Infosys BPM,3.5,11.6k,71.7k,1.1k,82
HDFC Life,3.9,11.5k,32.6k,753,109
Bandhan Bank,3.7,10.3k,25.1k,701,10
Conneqt Business Solutions,3.6,10k,26.3k,544,398
Mphasis,3.3,9.9k,72.5k,896,38
Yes Bank,3.7,9.7k,43.3k,523,179
Tata Steel,4.0,9.6k,33.6k,1k,--
Quess,3.8,9.3k,30.4k,510,4
Startek,3.1,9.1k,24.2k,594,136
Infosys BPM,3.5,11.6k,71.7k,1.1k,82
HDFC Life,3.9,11.5k,32.6k,753,109
Bandhan Bank,3.7,10.3k,25.1k,701,10
Conneqt Business Solutions,3.6,10k,26.3k,544,398
Mphasis,3.3,9.9k,72.5k,896,38
Yes Bank,3.7,9.7k,43.3k,523,179
Tata Steel,4.0,9.6k,33.6k,1k,--
Quess,3.8,9.3k,30.4k,510,4
Startek,3.1,9.1k,24.2k,594,136
Asian Paints,3.9,9.1k,25k,796,44
Infosys BPM,3.5,11.6k,71.7k,1.1k,82
HDFC Life,3.9,11.5k,32.6k,753,109
Bandhan Bank,3.7,10.3k,25.1k,701,10
Conneqt Business Solutions,3.6,10k,26.3k,544,398
Mphasis,3.3,9.9k,72.5k,896,38
Yes Bank,3.7,9.7k,43.3k,523,179
Tata Steel,4.0,9.6k,33.6k,1k,--
Quess,3.8,9.3k,30.4k,510,4
Startek,3.1,9.1k,24.2k,594,136
Asian Paints,3.9,9.1k,25k,796,44
Paytm,3.2,9k,33.6k,860,597
Infosys BPM,3.5,11.6k,71.7k,1.1k,82
HDFC Life,3.9,11.5k,32.6k,753,109
Bandhan Bank,3.7,10.3k,25.1k,701,10
Conneqt Business Solutions,3.6,10k,26.3k,544,398
Mphasis,3.3,9.9k,72.5k,896,38
Yes Bank,3.7,9.7k,43.3k,523,179
Tata Steel,4.0,9.6k,33.6k,1k,--
Quess,3.8,9.3k,30.4k,510,4
Startek,3.1,9.1k,24.2k,594,136
Asian Paints,3.9,9.1k,25k,796,44
Paytm,3.2,9k,33.6k,860,597
UltraTech Cement,4.1,9k,23.7k,751,18
